player,minutes,team,match,date
D. Piñón,0,Mineros de Zacatecas,Clausura - 9,2023-02-28T23:05:00+00:00
J. Rodarte,0,Mineros de Zacatecas,Clausura - 9,2023-02-28T23:05:00+00:00
F. López,90,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
J. González,90,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
F. Ortega,46,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
F. Rabago,90,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
E. Jaramillo,90,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
M. Vallejo,80,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
W. Rentería,80,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
J. Henestrosa,90,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
D. García,90,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
L. Martínez,33,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
A. Villalobos,33,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
A. Hernández,57,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
R. García,57,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
B. Flores,44,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
A. Marín,10,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
D. Muñoz,10,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
S. Hernández,0,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
A. Murillo,0,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
G. Herrera,0,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
K. Valdivia,0,Leones Negros UDG,Clausura - 9,2023-02-28T23:05:00+00:00
J. Rangel,90,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
M. Gómez,90,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
R. Martínez,46,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
L. Carrillo,60,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
Ó. Macías,90,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
G. García,30,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
D. Campillo,46,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
D. Guajardo,60,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
S. Pérez Bouquet,90,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
B. Sánchez,46,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
J. Brigido,90,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
J. Agüayo,44,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
R. Reyes,44,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
J. González,44,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
C. Engelhart,30,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
G. García,30,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
D. Magaña,0,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
G. Martínez,0,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
V. Alcaráz,0,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
J. Terán,0,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
L. Puente,0,Tapatío,Clausura - 17,2023-04-19T23:00:00+00:00
M. Fraga,90,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
A. Sánchez,90,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
H. Torres,90,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
O. Mireles,90,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
C. Sánchez,58,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
J. Jiménez,90,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
F. Plascencia,90,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
H. Meza,90,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
Ó. Mazatán,90,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
K. Chaurand,82,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
K. Magaña,79,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
D. Vásquez,32,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
S. Robles,11,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
L. Razo,8,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
P. Padilla,0,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
A. Mendoza,0,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
J. Rodríguez,0,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
L. Hernández,0,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
O. González,0,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
J. Rodarte,0,Mineros de Zacatecas,Clausura - 17,2023-04-19T23:00:00+00:00
E. Reséndez,90,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
H. Aguayo,89,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
H. Marín,82,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
W. Ortega,90,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
M. Pérez,90,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
J. Alonzo,82,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
M. Reyes,90,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
Junior Moreira,90,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
L. Loroña,90,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
D. Hernández,65,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
C. Traoré,82,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
G. Eguade,25,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
A. Sánchez,8,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
E. García,8,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
B. Galindo,8,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
A. Arreola,1,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
C. Andrade,0,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
P. Uscanga,0,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
P. López,0,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
H. Pouokam,0,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
C. Tolosa,0,Cancún,Clausura - 11,2023-03-17T01:05:00+00:00
M. Fraga,90,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
H. Torres,90,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
O. Mireles,90,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
A. Mendoza,46,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
J. Jiménez,63,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
H. Meza,75,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
J. Rodríguez,90,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
C. Blanco,90,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
K. Magaña,46,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
L. Razo,90,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
D. Vásquez,46,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
C. Sánchez,44,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
J. Vega,44,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
J. Clemente,44,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
L. Hernández,27,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
K. Chaurand,15,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
A. Sánchez,0,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
S. Robles,0,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
O. González,0,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
D. Piñón,0,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
J. Rodarte,0,Mineros de Zacatecas,Clausura - 11,2023-03-17T01:05:00+00:00
S. Ramírez,90,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
A. Ledesma,90,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
D. Parra,90,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
M. Trejo,60,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
E. Quezada,90,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
L. Pérez,46,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
J. Ibarra,90,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
R. Torres,46,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
B. Mendoza,90,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
W. Mejía,72,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
J. Flores,72,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
R. González,44,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
J. Uchuari,44,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
D. Navarrete,30,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
K. Hernández,18,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
J. Ruiz,18,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
U. Cardona,0,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
H. Barajas,0,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
S. Vázquez,0,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
R. Castellanos,0,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
R. Buenrostro,0,Monarcas,Clausura - 10,2023-03-08T03:05:00+00:00
M. Fraga,90,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
H. Torres,46,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
O. Mireles,90,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
A. Mendoza,90,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
J. Jiménez,59,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
J. Clemente,90,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
H. Meza,90,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
J. Rodríguez,90,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
C. Blanco,66,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
K. Magaña,90,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
L. Razo,66,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
A. Sánchez,44,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
C. Sánchez,31,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
J. Vega,24,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
K. Chaurand,24,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
S. Robles,0,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
D. Vásquez,0,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
L. Hernández,0,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
O. González,0,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
D. Piñón,0,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
J. Rodarte,0,Mineros de Zacatecas,Clausura - 10,2023-03-08T03:05:00+00:00
M. Fraga,90,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
E. Monreal,90,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
C. Sánchez,90,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
L. Hernández,76,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
J. Plascencia,90,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
J. Clemente,90,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
H. Meza,90,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
Ó. Mazatán,90,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
J. Rodríguez,69,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
C. Blanco,90,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
L. Razo,69,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
J. Vega,21,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
K. Chaurand,21,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
J. Cobián,14,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
S. Ceballos,0,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
A. Sánchez,0,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
R. Villamizar,0,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
K. Magaña,0,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
O. González,0,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
P. Padilla,0,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
S. Robles,0,Mineros de Zacatecas,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
E. García,90,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
D. Magaña,64,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
O. Mireles,12,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
R. Martínez,90,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
Ó. Macías,90,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
G. García,90,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
D. Campillo,90,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
D. Guajardo,90,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
M. Chávez,76,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
J. González,90,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
J. Brigido,76,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
R. Reyes,78,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
S. Pérez Bouquet,26,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
M. Gómez,14,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
I. Márquez,14,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
S. Martínez,0,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
G. Martínez,0,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
A. Gutiérrez,0,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
V. Alcaráz,0,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
R. Domínguez,0,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
A. González,0,Tapatío,Apertura - Reclasificación,2022-10-21T00:00:00+00:00
G. Ruiz,90,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
F. Santillán,90,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
D. Cruz,90,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
B. Salazar,90,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
M. Lozano,82,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
A. Serna,71,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
D. Zago,90,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
J. Hernández,81,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
I. Hernández,60,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
J. Rangel,81,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
J. Zamudio,90,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
J. Serrano,30,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
D. German,19,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
E. Mendoza,9,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
D. Raeder,9,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
P. Santos,8,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
A. Soto,0,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
D. Velázquez,0,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
U. Rivera,0,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
A. Ruiz,0,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
D. Urtiaga,0,Tlaxcala,Clausura - 3,2023-01-17T23:05:00+00:00
M. Fraga,90,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
O. Mireles,90,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
S. Robles,46,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
L. Hernández,46,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
J. Jiménez,90,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
F. Plascencia,75,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
Ó. Mazatán,90,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
J. Rodríguez,46,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
C. Blanco,90,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
K. Magaña,90,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
L. Razo,60,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
H. Meza,44,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
J. Vega,44,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
K. Chaurand,44,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
J. Clemente,30,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
A. Mendoza,15,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
A. Sánchez,0,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
P. Padilla,0,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
C. Sánchez,0,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
H. Torres,0,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
O. González,0,Mineros de Zacatecas,Clausura - 3,2023-01-17T23:05:00+00:00
M. Fraga,90,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
H. Torres,90,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
J. Rodarte,90,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
J. Jiménez,46,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
F. Plascencia,90,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
J. Clemente,90,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
H. Meza,46,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
Ó. Mazatán,90,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
K. Chaurand,46,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
K. Magaña,75,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
L. Razo,90,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
P. Padilla,44,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
C. Sánchez,44,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
J. Rodríguez,44,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
D. Vásquez,15,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
A. Sánchez,0,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
O. Mireles,0,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
S. Robles,0,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
A. Mendoza,0,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
L. Hernández,0,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
L. Durán,0,Mineros de Zacatecas,Clausura - 16,2023-04-11T23:05:00+00:00
E. Castro,90,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
J. Saavedra,90,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
J. García Sancho,90,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
U. Torres,83,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
H. Vázquez,46,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
D. Cisneros,83,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
É. Torres,90,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
A. Arellano,90,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
D. Jiménez,90,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
J. Peralta,90,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
J. López,61,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
A. Mengual,44,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
J. Gurrola,29,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
S. Manríquez,7,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
B. Navarro,7,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
C. Rodríguez,7,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
J. Alvarado,0,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
D. López,0,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
E. González,0,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
M. Salazar,0,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
J. Rodríguez,0,Cimarrones,Clausura - 16,2023-04-11T23:05:00+00:00
M. Fraga,90,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
H. Torres,90,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
O. Mireles,90,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
C. Sánchez,57,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
A. Mendoza,90,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
J. Jiménez,74,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
H. Meza,65,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
J. Rodríguez,74,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
C. Blanco,90,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
K. Chaurand,90,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
K. Magaña,65,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
J. Clemente,33,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
L. Razo,25,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
J. Vega,25,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
D. Vásquez,16,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
D. Piñón,16,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
A. Sánchez,0,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
S. Robles,0,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
L. Hernández,0,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
O. González,0,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
J. Rodarte,0,Mineros de Zacatecas,Clausura - 12,2023-03-22T01:05:00+00:00
O. Paz,34,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
E. Reyes,90,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
J. Esqueda,90,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
M. Arreola,90,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
C. Guerrero,90,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
F. Morales,90,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
J. Cortés,90,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
C. Cañozales,90,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
E. Olaguez,90,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
A. González,90,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
J. Gómez,86,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
L. Chávez,56,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
F. Hurtado,4,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
P. Pacheco,0,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
J. Mora,0,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
N. Corona,0,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
F. Vázquez,0,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
A. Vázquez,0,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
A. León,0,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
G. Manzanares,0,Alebrijes de Oaxaca,Clausura - 12,2023-03-22T01:05:00+00:00
